DonorName,Textbox5,GeographicAreaCode_ISO2,GeographicAreaCode_ISO3,GeographicAreaName,DonorParentName,ReplenishmentCycle,Indicator,TransactionType,SourceCurrency,Year,Month,Amount
Thailand,,TH,THA,Thailand,Public Sector,2014-2016,Contribution,Source Currency,USD,2014,Jun,100904.66
Portugal,,PT,PRT,Portugal,Public Sector,2017-2019,Contribution,Source Currency,EUR,2018,Dec,75000
Denmark,,DK,DNK,Denmark,Public Sector,2017-2019,Contribution,Source Currency,DKK,2019,Sep,150000000
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2017-2019,Contribution,Source Currency,KRW,2017,Sep,1957000000
United Kingdom,,GB,GBR,United Kingdom,Public Sector,2006-2007,Contribution,USD Equivalent,GBP,2007,Dec,187202000
European Commission,,,,,Public Sector,2008-2010,Pledge,Source Currency,EUR,2009,Dec,100000000
Australia,,AU,AUS,Australia,Public Sector,2008-2010,Pledge,USD Equivalent,AUD,2008,Dec,38883600
Canada,,CA,CAN,Canada,Public Sector,2006-2007,Contribution,Source Currency,CAD,2006,Dec,125000000
Netherlands,,NL,NLD,Netherlands,Public Sector,2001-2005,Pledge,Source Currency,EUR,2003,Dec,36500000
Singapore,,SG,SGP,Singapore,Public Sector,2006-2007,Contribution,Source Currency,USD,2006,Dec,200000
Norway,,NO,NOR,Norway,Public Sector,2008-2010,Pledge,Source Currency,NOK,2008,Dec,375000000
France,,FR,FRA,France,Public Sector,2006-2007,Contribution,Source Currency,EUR,2006,Dec,225000000
Portugal,,PT,PRT,Portugal,Public Sector,2001-2005,Contribution,Source Currency,USD,2005,Dec,1500000
United Arab Emirates,,AE,ARE,United Arab Emirates,Public Sector,2020-2022,Pledge,Source Currency,EUR,2019,Oct,50000000
Denmark,,DK,DNK,Denmark,Public Sector,2014-2016,Contribution,USD Equivalent,DKK,2016,Dec,5465775
Nigeria,,NG,NGA,Nigeria,Public Sector,2020-2022,Pledge,Source Currency,USD,2019,Oct,12000000
Denmark,,DK,DNK,Denmark,Public Sector,2008-2010,Pledge,USD Equivalent,DKK,2008,Dec,29397930.39
Nigeria,,NG,NGA,Nigeria,Public Sector,2011-2013,Pledge,USD Equivalent,USD,2011,Dec,10000000
Namibia,,NA,NAM,Namibia,Public Sector,2011-2013,Pledge,Source Currency,USD,2013,Dec,250000
European Commission,,,,,Public Sector,2017-2019,Contribution,USD Equivalent,EUR,2017,Dec,168331276.5
Ireland,,IE,IRL,Ireland,Public Sector,2001-2005,Pledge,USD Equivalent,EUR,2003,Dec,11161430
Australia,,AU,AUS,Australia,Public Sector,2001-2005,Contribution,Source Currency,AUD,2004,Dec,20000000
India,,IN,IND,India,Public Sector,2008-2010,Contribution,Source Currency,USD,2009,Dec,2000000
Canada,,CA,CAN,Canada,Public Sector,2008-2010,Contribution,Source Currency,CAD,2008,Dec,150000000
New Zealand,,NZ,NZL,New Zealand,Public Sector,2008-2010,Pledge,Source Currency,NZD,2010,Dec,1000000
Malta,,MT,MLT,Malta,Public Sector,2020-2022,Contribution,USD Equivalent,EUR,2022,Jan,110296.14
Korea (Republic),,KR,KOR,Korea (Republic),Public Sector,2014-2016,Contribution,Source Currency,KRW,2015,Dec,2060000000
India,,IN,IND,India,Public Sector,2020-2022,Contribution,USD Equivalent,USD,2020,Jul,7000000
Germany,,DE,DEU,Germany,Public Sector,2020-2022,Pledge,USD Equivalent,EUR,2020,Jun,165444217.72
Japan,,JP,JPN,Japan,Public Sector,2001-2005,Contribution,Source Currency,USD,2004,Dec,86126233.38
Liechtenstein,,LI,LIE,Liechtenstein,Public Sector,2001-2005,Contribution,USD Equivalent,USD,2005,Dec,50000
